标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"真心话，小时候就一直听“姑苏城外寒山寺、夜半钟声到客船”到了寒山寺觉得真的很有感悟：
1、停车??方便
2、真的非常有文化底蕴的地方
3、门票便宜
4、老人也非常喜欢",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165562244.html,https://dimg04.c-ctrip.com/images/Z80o11000000qi5hgE0AA_C_180_180.jpg,天下的无双,5分,2021/1/18
"唐代贞观年间，当时的名僧寒山、希迁两位高僧创建寒山寺。历史上寒山寺曾是中国十大名寺之一，寺内古迹甚多，有张继诗的石刻碑文，寒山、拾得的石刻像，文徵明、唐寅所书碑文残片等。
还未进古寺，已听到阵阵悠远的钟声。
“枫桥夜泊处”离寒山寺很近，确禁止通行，很遗憾。",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165318224.html,https://dimg04.c-ctrip.com/images/0Z83m1200085c95heBAAB_C_180_180.jpg,悠悠的风103,5分,2020/12/16
第三次来寒山寺了，这次来发现了这只好萌的小狮子哈哈哈哈太可爱了，身上这么光亮看来游客们也都很喜欢它??，前面两次来这里一次是盛夏，一次是初冬，下次要在下雪的时候再来一次~每个季节的美都不一样~每次发现的景色也不一样，寒山寺古色古香的江南园林风格搭配现代风格粉红色的墙太好看了~赞叹设计师的美学构思???,https://gs.ctrip.com/html5/you/comment/detail/3765/11/164481243.html,https://dimg04.c-ctrip.com/images/zc0h170000011fhu3CEE3_C_180_180.jpg,139****3478,5分,2020/9/20
寒山寺的入口是正对着枫桥景区的。从寒山寺出来后想去枫桥景区还要折返回去。很多导游在带逛寺庙的时候都会告知不走回头路，所以从主门进来的话要从侧门离开。寒山寺是有香火的。寺庙不大，里面也有庙里的僧人！寒山寺里面的景色还是挺不错的。来到苏州，当然是要到这里瞧一瞧的了！,https://gs.ctrip.com/html5/you/comment/detail/3765/11/163118168.html,https://dimg04.c-ctrip.com/images/Z80d1g000001ha0bgB427_C_180_180.jpg,卖牛奶的猪,5分,2020/3/27
不高的小山却非常幽静，充满了江南园林的味道，处处有景处处有文化,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165813893.html,https://dimg04.c-ctrip.com/images/Z80t12000000sg3du8160_C_180_180.jpg,枫舞知秋,5分,2021/2/22
夜半钟声到客船，寒山寺因为这首诗出名，门票15元，单独逛寒山寺要付门票，但是如果只是逛枫桥夜泊景区不需要，寒山寺里还有枫桥夜泊那首诗的真迹,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165441616.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,alpha1015,5分,2021/1/1
许多年前来过一次，这次来感觉又不一样，买了讲解，有很多地方都有了很好的了解，对寒山寺的由来，那座塔的由来，还有那巨型大钟如何建成都了解了,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165855801.html,https://dimg04.c-ctrip.com/images/t1/headphoto/491/056/464/eb3c7472323e4c3598f58ffa8a6fce99_C_180_180.jpg,M27****0133,5分,2021/2/28
"和合二仙之典故/昔日寒山问拾得曰：
“世间有人谤我、欺我、辱我、笑我、轻我、贱我、恶我、骗我，如何处置乎？”
拾得曰：
“只是忍他、让他、由他、避他、耐他、敬他、不要理他，再待几年，你且看他。”",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165758193.html,https://dimg04.c-ctrip.com/images/t1/headphoto/397/132/243/542067aa29904ae9aca7e88f43eaeb6f_C_180_180.jpg,M24****9457,5分,2021/2/16
寒山寺位于苏州市姑苏区，始建于南朝萧梁代天监年间（公元502～519年），初名“妙利普明塔院”。寒山寺占地面积约1.3万平方米，建筑面积三千四百余平方米。唐代贞观年间，当时的名僧寒山、希迁两位高僧创建寒山寺。1000多年内寒山寺先后5次遭到火毁（一说是7次），最后一次重建是清代光绪年间。历史上寒山寺曾是中国十大名寺之一，寺内古迹甚多，有张继诗的石刻碑文，寒山、拾得的石刻像，文徵明、唐寅所书碑文残片等。,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165733393.html,https://dimg04.c-ctrip.com/images/Z8060z000000mnckuCC07_C_180_180.jpg,慢樱花,5分,2021/2/14
"不禁想起唐代诗人张继途经寒山寺时写下的这首羁旅诗—《枫桥夜泊》。
月落乌啼霜满天，江枫渔火对愁眠。
姑苏城外寒山寺，夜半钟声到客船。

寒山寺位于苏州市姑苏区，始建于南朝萧梁代天监年间（公元502～519年），初名“妙利普明塔院”，属于禅宗中的临济宗。
寒山寺先后5次遭到火毁（也有说是7次），最后一次重建是清代光绪年间，历史上寒山寺曾是中国十大名寺之一。",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165407557.html,https://dimg04.c-ctrip.com/images/Z80i0c00000062f831AB3_C_180_180.jpg,D23****498,4分,2020/12/28
